1,30,Aeroport - Piața Marii Adunări Naționale,7390177,#8775C9
2,32,str. 31 August 1989 - com. Stăuceni,8649765,#1F6082
39,37,Gara Feroviară - Bubuieci,9478330,#5F382C
40,36,bd. Ștefan cel Mare și Sfânt - or. Ialoveni,9478295,#197BB0
41,35,Durlești - str. V. Alecsandri,9478243,#00A65A
42,34,str. Ciuflea - com. Trușeni,9220092,#DF1087
38,31,str. 31 August 1989 - or. Sângera,8219936,#AD21A3
44,29,Universitatea Agrară - Grădina publică 'Ștefan cel Mare',6768372,#282828
45,27,str. Ceucari - str. Ion Creangă,6768261,#8674C8
46,26,str. Ceucari - str. Mircea cel Bătrân,6768260,#F5B5D5
47,25,str. Ceucari - str. 31 august 1989,6768231,#61514D
48,24,str. Mircea cel Bătrân - str. Miorița,6768200,#F65B75
49,23,str. Mircea cel Bătrân - Parcul 'La Izvor',6768158,#843D72
3,22,str. Alba-Iulia - bd. Dacia,6768073,#F8853D
5,21,str. Meșterul Manole - str. Alba-Iulia,6768055,#854164
52,20,Parcul de troilebuze nr.2 - str. V. Dokuceaev,6767907,#FEB476
53,17,Gara Auto Sud-Vest - Gara Feroviară,6767859,#1F7343
54,13,bd. Mircea cel Bătrân - str. V. Dokuceaev,6755788,#C3DB4D
55,12,bd. Mircea cel Bătrân - str. A. Mateevici,9220024,#B3F1BC
56,11,bd. Moscova - Parcul 'La Izvor',6862391,#00A75A
57,10,bd. Moscova - str. Miorița,6755732,#653532
58,9,Gara Auto Sud-Vest - Gara Auto Nord,6754654,#ADDCF2
59,8,bd. Traian - Parcul 'La Izvor',6754630,#DC2C1D
60,7,str. Uzinelor - str. 31 August 1989,6754620,#00A3D4
61,5,Parcul de troleibuze nr.2 - str. Bariera Sculeni,6754537,#2D3B9F
62,4,bd. Dacia - str. Constituției,6754503,#F8863E
4,3,str. Alba-Iulia - str. Miorița,6754451,#776561
64,2,bd. Traian - str. A. Pușkin,6754453,#D2A764
65,1,or. Durlești - str. Sarmizegetusa,6768282,#F9E01B
68,16,str. Uzinelor - str. 31 August 1989,10651844,#3A2B99
